Date : 2023-02-19 12:02:08
Directory : /home/liuchen/项目/Muduo_WebServer
Total : 99 files,  8321 codes, 549 comments, 1037 blanks, all 9907 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |         59 |      4,055 |        549 |        799 |      5,403 |
| JSON               |         17 |      2,742 |          0 |         13 |      2,755 |
| Markdown           |         10 |        601 |          0 |         64 |        665 |
| CMake              |          9 |        348 |          0 |         70 |        418 |
| CMake Cache        |          1 |        279 |          0 |         60 |        339 |
| log                |          2 |        222 |          0 |         31 |        253 |
| JSON with Comments |          1 |         74 |          0 |          0 |         74 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         99 |      8,321 |        549 |      1,037 |      9,907 |
| . (Files)                                                                                                         |          2 |         86 |          0 |         11 |         97 |
| build                                                                                                             |         28 |      4,239 |         63 |        319 |      4,621 |
| build (Files)                                                                                                     |          3 |        472 |          0 |         71 |        543 |
| build/.cmake                                                                                                      |         14 |      2,598 |          0 |         13 |      2,611 |
| build/.cmake/api                                                                                                  |         14 |      2,598 |          0 |         13 |      2,611 |
| build/.cmake/api/v1                                                                                               |         14 |      2,598 |          0 |         13 |      2,611 |
| build/.cmake/api/v1/query                                                                                         |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/query/client-vscode                                                                           |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/reply                                                                                         |         13 |      2,597 |          0 |         13 |      2,610 |
| build/CMakeFiles                                                                                                  |          6 |      1,037 |         63 |        207 |      1,307 |
| build/CMakeFiles (Files)                                                                                          |          3 |        313 |          0 |         36 |        349 |
| build/CMakeFiles/3.25.0-rc3                                                                                       |          3 |        724 |         63 |        171 |        958 |
| build/CMakeFiles/3.25.0-rc3 (Files)                                                                               |          2 |         74 |          0 |         26 |        100 |
| build/CMakeFiles/3.25.0-rc3/CompilerIdCXX                                                                         |          1 |        650 |         63 |        145 |        858 |
| build/http                                                                                                        |          1 |         37 |          0 |          8 |         45 |
| build/mymuduo                                                                                                     |          4 |         95 |          0 |         20 |        115 |
| build/mymuduo (Files)                                                                                             |          2 |         48 |          0 |         11 |         59 |
